iter	F1	Logloss
0	0.604972567	0.6917432065
1	0.6225325962	0.6904190771
2	0.6044337262	0.6891456093
3	0.6169945859	0.6879100404
4	0.6193734481	0.686802799
5	0.618507245	0.6856806936
6	0.620165107	0.6845973432
7	0.6225192019	0.6836063668
8	0.6247776598	0.6826468301
9	0.6276478228	0.6812904826
10	0.6281138009	0.6804181837
11	0.6305084277	0.6791938211
12	0.6320713434	0.6780109373
13	0.6339626632	0.6769061083
14	0.6341268309	0.6761037707
15	0.6350618171	0.6750826774
16	0.6361420605	0.6740903779
17	0.6351982161	0.6731530203
18	0.6350484478	0.672258231
19	0.6356641685	0.6714026636
20	0.635864578	0.6706081081
21	0.6361355169	0.6700405573
22	0.6364001476	0.6694583762
23	0.6370245501	0.6687358832
24	0.6378296127	0.6680239739
25	0.6385448037	0.6675151783
26	0.6385340756	0.6670073943
27	0.6389187109	0.6663631117
28	0.6387181188	0.665888713
29	0.6388923711	0.6652872322
30	0.6392213136	0.6647219383
31	0.63966509	0.6641386676
32	0.6397906246	0.6635894827
33	0.6400837891	0.6630546947
34	0.6401600272	0.6625074553
35	0.6401924269	0.6620092433
36	0.6403005984	0.6615283855
37	0.6404432288	0.6610375665
38	0.6403516754	0.6606017672
39	0.6403659447	0.6601704816
40	0.6401137914	0.6597497018
41	0.6404025585	0.6593609844
42	0.6403573148	0.658960049
43	0.6405954593	0.6585868959
44	0.6403699597	0.6582047933
45	0.6404720001	0.6578533523
46	0.6406009615	0.6574995767
47	0.64066474	0.657165412
48	0.6406439669	0.6568349049
49	0.6405461756	0.6565096897
50	0.6407711897	0.6562222956
51	0.6408146414	0.6559209715
52	0.6411039491	0.6556226825
53	0.6411443509	0.6553415919
54	0.641430197	0.6550457153
55	0.641435843	0.6547760645
56	0.6416308711	0.6545147406
57	0.6418574526	0.6542456345
58	0.6419157405	0.653993727
59	0.6418979199	0.6537616639
60	0.6420072621	0.6535246202
61	0.6420597632	0.653290378
62	0.6422685762	0.6530390931
63	0.6425801606	0.6528240728
64	0.6425715822	0.6526073016
65	0.6428012933	0.6523948883
66	0.6427178902	0.6521740704
67	0.6426665163	0.6519611902
68	0.6425135644	0.6517561311
69	0.6425123271	0.6515716168
70	0.6428192152	0.6513862075
71	0.643117754	0.6511918877
72	0.6428787847	0.6509983072
