iter	Passed	Remaining
0	318	956414
1	430	645374
2	529	528796
3	635	475947
4	736	441328
5	844	421238
6	952	407209
7	1059	396394
8	1150	382453
9	1255	375485
10	1364	370678
11	1452	361697
12	1560	358493
13	1665	355247
14	1792	356760
15	1898	353996
16	2006	352106
17	2114	350360
18	2223	348860
19	2340	348782
20	2441	346318
21	2524	341707
22	2611	337970
23	2698	334553
24	2789	331911
25	2879	329367
26	2970	327102
27	3058	324666
28	3146	322361
29	3255	322300
30	3371	322902
31	3476	322412
32	3578	321717
33	3686	321619
34	3795	321553
35	3903	321383
36	4010	321133
37	4118	321012
38	4222	320550
39	4329	320356
40	4430	319780
41	4527	318874
42	4632	318531
43	4738	318321
44	4843	318061
45	4930	316615
46	5050	317332
47	5141	316173
48	5268	317294
49	5398	318539
50	5503	318219
51	5603	317653
52	5713	317678
53	5804	316647
54	5910	316490
55	6037	317409
56	6163	318217
57	6284	318798
58	6379	318002
59	6497	318387
60	6595	317767
61	6694	317256
62	6799	316991
63	6882	315714
64	6990	315656
65	7092	315306
66	7197	315067
67	7328	316004
68	7450	316497
69	7558	316397
70	7661	316084
71	7767	315870
72	7896	316631
73	8017	317003
74	8135	317293
75	8241	317079
76	8346	316841
77	8452	316661
78	8554	316314
79	8675	316663
80	8794	316934
81	8900	316734
82	9027	317253
83	9113	316376
84	9239	316864
85	9351	316877
86	9458	316706
87	9566	316564
88	9651	315669
89	9733	314723
90	9818	313852
91	9940	314221
92	10070	314786
93	10173	314515
94	10304	315115
95	10407	314820
96	10504	314383
97	10611	314239
98	10715	314002
99	10837	314292
100	10945	314169
101	11050	313956
102	11139	313312
103	11264	313674
104	11368	313454
105	11472	313231
106	11579	313067
107	11670	312500
108	11795	312845
109	11919	313154
110	12014	312693
111	12137	312962
112	12247	312901
113	12357	312838
114	12442	312151
115	12520	311276
116	12617	310919
117	12726	310825
118	12848	311053
119	12945	310698
120	13033	310111
121	13122	309558
122	13226	309375
123	13355	309751
124	13459	309570
125	13583	309829
126	13677	309405
127	13769	308951
128	13874	308797
129	13959	308180
130	14040	307490
131	14128	306966
132	14237	306907
133	14330	306500
134	14452	306709
135	14535	306093
136	14634	305826
137	14725	305387
138	14842	305502
139	14960	305615
140	15089	305970
141	15202	305975
142	15326	306211
143	15454	306507
144	15542	306029
145	15657	306073
146	15782	306318
147	15908	306560
148	16000	306160
149	16089	305697
150	16201	305680
151	16304	305502
152	16412	305402
